sku_id,period,week_start,forecast_step,forecast_units,forecast_lo80,forecast_hi80
NBL-1145,2026-07-14/2026-07-20,2026-07-20,2.0,424.35335987055527,395.1866091549815,453.520110586129
NBL-1146,2026-07-14/2026-07-20,2026-07-20,2.0,124.12932287297282,102.38756831694474,145.8710774290009
NBL-1147,2026-07-14/2026-07-20,2026-07-20,2.0,259.6885251147459,230.85342644266177,288.52362378683006
NBL-1148,2026-07-14/2026-07-20,2026-07-20,2.0,203.01524202851735,182.1318077807085,223.8986762763262
NBL-1149,2026-07-14/2026-07-20,2026-07-20,2.0,620.2525613363729,589.1846790726607,651.320443600085
NBL-1000,2026-07-21/2026-07-27,2026-07-27,3.0,433.3645893359696,397.46662189340816,469.262556778531
NBL-1001,2026-07-21/2026-07-27,2026-07-27,3.0,253.18760691278493,229.03318306213012,277.3420307634397
NBL-1002,2026-07-21/2026-07-27,2026-07-27,3.0,737.4912820363446,705.0067907868746,769.9757732858146
NBL-1003,2026-07-21/2026-07-27,2026-07-27,3.0,231.70612675819348,205.87108539995015,257.54116811643684
NBL-1004,2026-07-21/2026-07-27,2026-07-27,3.0,426.0791514550566,388.9816726083836,463.17663030172963
NBL-1005,2026-07-21/2026-07-27,2026-07-27,3.0,16.37168749742528,8.783483212780169,23.959891782070393
NBL-1006,2026-07-21/2026-07-27,2026-07-27,3.0,284.109974845408,257.57235948410374,310.6475902067122
NBL-1007,2026-07-21/2026-07-27,2026-07-27,3.0,358.38356749433984,326.135773367757,390.6313616209227
NBL-1008,2026-07-21/2026-07-27,2026-07-27,3.0,147.34060046508728,129.8482307040227,164.83297022615184
NBL-1009,2026-07-21/2026-07-27,2026-07-27,3.0,128.28720606030552,107.59053002265243,148.9838820979586
NBL-1010,2026-07-21/2026-07-27,2026-07-27,3.0,302.3286186043778,270.86642551290237,333.7908116958533
NBL-1011,2026-07-21/2026-07-27,2026-07-27,3.0,220.65073472368093,201.90680207815876,239.3946673692031
NBL-1012,2026-07-21/2026-07-27,2026-07-27,3.0,133.6852850022103,118.47429716308308,148.8962728413375
NBL-1013,2026-07-21/2026-07-27,2026-07-27,3.0,36.2900987924179,28.230378105388237,44.34981947944756
NBL-1014,2026-07-21/2026-07-27,2026-07-27,3.0,181.30182681208,157.06444212193028,205.53921150222973
NBL-1015,2026-07-21/2026-07-27,2026-07-27,3.0,102.53203641245392,88.72556802842482,116.33850479648302
NBL-1016,2026-07-21/2026-07-27,2026-07-27,3.0,72.49087813656475,59.39320333393879,85.58855293919069
NBL-1017,2026-07-21/2026-07-27,2026-07-27,3.0,119.54724115290828,103.30640130633473,135.78808099948185
NBL-1018,2026-07-21/2026-07-27,2026-07-27,3.0,358.316514949219,326.11194442196404,390.521085476474
NBL-1019,2026-07-21/2026-07-27,2026-07-27,3.0,69.00935726527204,54.0187904645028,83.99992406604129
NBL-1020,2026-07-21/2026-07-27,2026-07-27,3.0,531.4214723770029,501.358466840137,561.4844779138689
NBL-1021,2026-07-21/2026-07-27,2026-07-27,3.0,576.331586830979,545.3144014312686,607.3487722306893
NBL-1022,2026-07-21/2026-07-27,2026-07-27,3.0,598.978793157163,552.5103654259094,645.4472208884165
NBL-1023,2026-07-21/2026-07-27,2026-07-27,3.0,222.32797037410077,198.54687523105724,246.1090655171443
NBL-1024,2026-07-21/2026-07-27,2026-07-27,3.0,491.8542693277568,468.54519379671393,515.1633448587997
NBL-1025,2026-07-21/2026-07-27,2026-07-27,3.0,550.3538765312401,512.8575820093394,587.8501710531408
NBL-1026,2026-07-21/2026-07-27,2026-07-27,3.0,239.29412970553955,216.3828327172531,262.205426693826
NBL-1027,2026-07-21/2026-07-27,2026-07-27,3.0,78.52760391947697,65.62398190274746,91.43122593620649
NBL-1028,2026-07-21/2026-07-27,2026-07-27,3.0,140.17497835305244,121.67002060757501,158.67993609852988
NBL-1029,2026-07-21/2026-07-27,2026-07-27,3.0,170.98482424762645,148.5146988001882,193.4549496950647
NBL-1030,2026-07-21/2026-07-27,2026-07-27,3.0,293.31973953141,267.15388813732034,319.48559092549965
NBL-1031,2026-07-21/2026-07-27,2026-07-27,3.0,330.020079418888,305.57757489093547,354.4625839468405
NBL-1032,2026-07-21/2026-07-27,2026-07-27,3.0,76.73904143733158,61.85796687096141,91.62011600370174
NBL-1033,2026-07-21/2026-07-27,2026-07-27,3.0,627.6037371179997,592.6685692488634,662.538904987136
NBL-1034,2026-07-21/2026-07-27,2026-07-27,3.0,620.0998434812018,570.9972905846671,669.2023963777365
NBL-1035,2026-07-21/2026-07-27,2026-07-27,3.0,280.69813446484716,251.77685077524396,309.6194181544504
NBL-1036,2026-07-21/2026-07-27,2026-07-27,3.0,294.00257751283783,267.20830948092316,320.7968455447525
NBL-1037,2026-07-21/2026-07-27,2026-07-27,3.0,188.4215744061578,170.65898316125458,206.184165651061
NBL-1038,2026-07-21/2026-07-27,2026-07-27,3.0,134.580645324596,114.43985387041735,154.72143677877463
NBL-1039,2026-07-21/2026-07-27,2026-07-27,3.0,215.4228911893152,192.66204366614897,238.18373871248144
NBL-1040,2026-07-21/2026-07-27,2026-07-27,3.0,238.5115700545261,216.92467095732292,260.09846915172926
NBL-1041,2026-07-21/2026-07-27,2026-07-27,3.0,650.028260824207,622.3804452546649,677.6760763937491
NBL-1042,2026-07-21/2026-07-27,2026-07-27,3.0,101.0,86.14630302714335,115.85369697285665
NBL-1043,2026-07-21/2026-07-27,2026-07-27,3.0,55.0,46.520625080310694,63.479374919689306
NBL-1044,2026-07-21/2026-07-27,2026-07-27,3.0,275.0,253.16278552656328,296.83721447343675
NBL-1045,2026-07-21/2026-07-27,2026-07-27,3.0,179.0,155.92551050614253,202.07448949385747
